EmployeeID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,Shift,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1313919,41,No,Travel_Rarely,1102,Cardiology,1,2,Life Sciences,1,2,Female,94,3,2,Nurse,4,Single,5993.0,19479,8,Y,Yes,11,3,1,80,0,8.0,0,1,6.0,4.0,0.0,5.0
1200302,49,No,Travel_Frequently,279,Maternity,8,1,Life Sciences,1,3,Male,61,2,2,Other,2,Married,5130.0,24907,1,Y,No,23,4,4,80,1,10.0,3,3,10.0,7.0,1.0,7.0
1060315,37,Yes,Travel_Rarely,1373,Maternity,2,2,Other,1,4,Male,92,2,1,Nurse,3,Single,2090.0,2396,6,Y,Yes,15,3,2,80,0,7.0,3,3,0.0,0.0,0.0,0.0
1272912,33,No,Travel_Frequently,1392,Maternity,3,4,Life Sciences,1,4,Female,56,3,1,Other,3,Married,2909.0,23159,1,Y,Yes,11,3,3,80,0,8.0,3,3,8.0,7.0,3.0,0.0
1414939,27,No,Travel_Rarely,591,Maternity,2,1,Medical,1,1,Male,40,3,1,Nurse,2,Married,3468.0,16632,9,Y,No,12,3,4,80,1,6.0,3,3,2.0,2.0,2.0,2.0
1633361,32,No,Travel_Frequently,1005,Maternity,2,2,Life Sciences,1,4,Male,79,3,1,Nurse,4,Single,3068.0,11864,0,Y,No,13,3,3,80,0,8.0,2,2,7.0,7.0,3.0,6.0
1329390,59,No,Travel_Rarely,1324,Maternity,3,3,Medical,1,3,Female,81,4,1,Nurse,1,Married,2670.0,9964,4,Y,Yes,20,4,1,80,3,12.0,3,2,1.0,0.0,0.0,0.0
1699288,30,No,Travel_Rarely,1358,Maternity,24,1,Life Sciences,1,4,Male,67,3,1,Nurse,3,Divorced,2693.0,13335,1,Y,No,22,4,2,80,1,1.0,2,3,1.0,0.0,0.0,0.0
1469740,38,No,Travel_Frequently,216,Maternity,23,3,Life Sciences,1,4,Male,44,2,3,Therapist,3,Single,9526.0,8787,0,Y,No,21,4,2,80,0,10.0,2,3,9.0,7.0,1.0,8.0
1101291,36,No,Travel_Rarely,1299,Maternity,27,3,Medical,1,3,Male,94,3,2,Nurse,3,Married,5237.0,16577,6,Y,No,13,3,2,80,2,17.0,3,2,7.0,7.0,7.0,7.0
1430504,35,No,Travel_Rarely,809,Maternity,16,3,Medical,1,1,Male,84,4,1,Nurse,2,Married,2426.0,16479,0,Y,No,13,3,3,80,1,6.0,5,3,5.0,4.0,0.0,3.0
1196281,29,No,Travel_Rarely,153,Maternity,15,2,Life Sciences,1,4,Female,49,2,2,Nurse,3,Single,4193.0,12682,0,Y,Yes,12,3,4,80,0,10.0,3,3,9.0,5.0,0.0,8.0
1207951,31,No,Travel_Rarely,670,Maternity,26,1,Life Sciences,1,1,Male,31,3,1,Other,3,Divorced,2911.0,15170,1,Y,No,17,3,4,80,1,5.0,1,2,5.0,2.0,4.0,3.0
1080660,34,No,Travel_Rarely,1346,Maternity,19,2,Medical,1,2,Male,93,3,1,Nurse,4,Divorced,2661.0,8758,0,Y,No,11,3,3,80,1,3.0,2,3,2.0,2.0,1.0,2.0
1420391,28,Yes,Travel_Rarely,103,Maternity,24,3,Life Sciences,1,3,Male,50,2,1,Nurse,3,Single,2028.0,12947,5,Y,Yes,14,3,2,80,0,6.0,4,3,4.0,2.0,0.0,3.0
